Segment,Sequence
Dog_1/Dog_1_interictal_segment_0001.mat,1
Dog_1/Dog_1_interictal_segment_0002.mat,1
Dog_1/Dog_1_interictal_segment_0003.mat,1
Dog_1/Dog_1_interictal_segment_0004.mat,1
Dog_1/Dog_1_interictal_segment_0005.mat,1
Dog_1/Dog_1_interictal_segment_0006.mat,1
Dog_1/Dog_1_interictal_segment_0007.mat,2
Dog_1/Dog_1_interictal_segment_0008.mat,2
Dog_1/Dog_1_interictal_segment_0009.mat,2
Dog_1/Dog_1_interictal_segment_0010.mat,2
Dog_1/Dog_1_interictal_segment_0011.mat,2
Dog_1/Dog_1_interictal_segment_0012.mat,2
Dog_1/Dog_1_interictal_segment_0013.mat,3
Dog_1/Dog_1_interictal_segment_0014.mat,3
Dog_1/Dog_1_interictal_segment_0015.mat,3
Dog_1/Dog_1_interictal_segment_0016.mat,3
Dog_1/Dog_1_interictal_segment_0017.mat,3
Dog_1/Dog_1_interictal_segment_0018.mat,3
Dog_1/Dog_1_interictal_segment_0019.mat,4
Dog_1/Dog_1_interictal_segment_0020.mat,4
Dog_1/Dog_1_interictal_segment_0021.mat,4
Dog_1/Dog_1_interictal_segment_0022.mat,4
Dog_1/Dog_1_interictal_segment_0023.mat,4
Dog_1/Dog_1_interictal_segment_0024.mat,4
Dog_1/Dog_1_interictal_segment_0025.mat,5
Dog_1/Dog_1_interictal_segment_0026.mat,5
Dog_1/Dog_1_interictal_segment_0027.mat,5
Dog_1/Dog_1_interictal_segment_0028.mat,5
Dog_1/Dog_1_interictal_segment_0029.mat,5
Dog_1/Dog_1_interictal_segment_0030.mat,5
Dog_1/Dog_1_interictal_segment_0031.mat,6
Dog_1/Dog_1_interictal_segment_0032.mat,6
Dog_1/Dog_1_interictal_segment_0033.mat,6
Dog_1/Dog_1_interictal_segment_0034.mat,6
Dog_1/Dog_1_interictal_segment_0035.mat,6
Dog_1/Dog_1_interictal_segment_0036.mat,6
Dog_1/Dog_1_interictal_segment_0037.mat,7
Dog_1/Dog_1_interictal_segment_0038.mat,7
Dog_1/Dog_1_interictal_segment_0039.mat,7
Dog_1/Dog_1_interictal_segment_0040.mat,7
Dog_1/Dog_1_interictal_segment_0041.mat,7
Dog_1/Dog_1_interictal_segment_0042.mat,7
Dog_1/Dog_1_interictal_segment_0043.mat,8
Dog_1/Dog_1_interictal_segment_0044.mat,8
Dog_1/Dog_1_interictal_segment_0045.mat,8
Dog_1/Dog_1_interictal_segment_0046.mat,8
Dog_1/Dog_1_interictal_segment_0047.mat,8
Dog_1/Dog_1_interictal_segment_0048.mat,8
Dog_1/Dog_1_interictal_segment_0049.mat,9
Dog_1/Dog_1_interictal_segment_0050.mat,9
Dog_1/Dog_1_interictal_segment_0051.mat,9
Dog_1/Dog_1_interictal_segment_0052.mat,9
Dog_1/Dog_1_interictal_segment_0053.mat,9
Dog_1/Dog_1_interictal_segment_0054.mat,9
Dog_1/Dog_1_interictal_segment_0055.mat,10
Dog_1/Dog_1_interictal_segment_0056.mat,10
Dog_1/Dog_1_interictal_segment_0057.mat,10
Dog_1/Dog_1_interictal_segment_0058.mat,10
Dog_1/Dog_1_interictal_segment_0059.mat,10
Dog_1/Dog_1_interictal_segment_0060.mat,10
Dog_1/Dog_1_interictal_segment_0061.mat,11
Dog_1/Dog_1_interictal_segment_0062.mat,11
